Year,TotalWeightedObservations,GMSL_noGIA,StdDevGMSL_noGIA,SmoothedGSML_noGIA,GMSL_GIA,StdDevGMSL_GIA,SmoothedGSML_GIA,SmoothedGSML_GIA_sigremoved,humidity,wind_speed,precipitation,temp_mean,temp_min,temp_max
1993,327401.31,-38.59,89.86,-38.76,-38.59,89.86,-38.75,-38.57,0.97,1.6,0.04,8.5,7.2,9.8
1993,324498.41,-41.97,90.86,-39.78,-41.97,90.86,-39.77,-39.11,0.99,2,0.16,7.9,6.6,9.2
1993,333018.19,-41.93,87.27,-39.62,-41.91,87.27,-39.61,-38.58,0.91,3.4,0,8.1,6.6,9.6
1993,297483.19,-42.67,90.75,-39.67,-42.65,90.74,-39.64,-38.34,0.95,4.9,0.44,8.6,6.4,10.8
1993,321635.81,-37.86,90.26,-38.75,-37.83,90.25,-38.72,-37.21,0.95,3.6,0.04,8,6.4,9.5
1993,291945.91,-36.09,89.99,-37.71,-36.05,89.99,-37.67,-35.98,0.92,3.4,0.2,7.1,3.5,10.7
1993,327830,-36.11,88.74,-36.85,-36.06,88.74,-36.81,-34.94,0.96,2.8,0,6,3.3,8.8
1993,326320.41,-35.52,89.49,-36.32,-35.47,89.49,-36.27,-34.19,0.97,3.6,0.14,8.2,5.3,11
1993,322331,-35.47,88.79,-36.11,-35.41,88.78,-36.05,-33.72,0.91,3,0.02,5.6,3.7,7.6
1993,331127.31,-39.25,98.1,-36.17,-39.19,98.09,-36.11,-33.48,0.94,1.9,0.04,1.8,-1.5,5
1993,322756.69,-37.52,87.39,-36.42,-37.45,87.38,-36.35,-33.38,0.98,1.8,0,-1.4,-2,-0.8
1993,328551.09,-34.52,87.27,-36.81,-34.45,87.27,-36.73,-33.41,0.95,2.4,0,-0.4,-2.7,2
1993,328241.09,-36.63,86.34,-37.26,-36.55,86.33,-37.18,-33.54,0.92,3.1,0.08,1.5,-0.6,3.6
1993,326836.59,-38.8,86.2,-37.46,-38.71,86.19,-37.37,-33.48,0.92,4.9,0,3.6,1,6.1
1993,328100.19,-40.23,85.06,-37.72,-40.13,85.06,-37.62,-33.59,0.88,6.8,0,3.5,1.1,5.9
1993,329731.59,-38.32,85.14,-37.29,-38.21,85.14,-37.19,-33.19,0.83,6.1,0,1.4,0,2.7
1993,328350.5,-36.03,85.33,-36.91,-35.92,85.33,-36.8,-33.02,0.9,3.6,0,3.6,0.8,6.3
1993,329377.5,-35.22,83.43,-36.33,-35.1,83.43,-36.22,-32.87,0.87,3.5,0,4.2,0.9,7.4
1993,319577.59,-35.38,82.94,-35.84,-35.26,82.94,-35.72,-33.01,0.81,4,0,4.1,2.2,6
1993,326465.59,-35.8,84.62,-35.37,-35.68,84.63,-35.24,-33.37,0.78,2,0,3.6,2.2,4.9
